id,nom,ville,page,code_postal
269,Centre Socioculturel La Partageraie, Saint,6,73250 
270,CENTRE SOCIAL HENRI MATISSE, Rive,6,42800 
271,Espace ALFRED SISLEY, Saint,6,42100 
272,CENTRE SOCIAL CONJUGUE, Argenteuil,6,95100 
273,CENTRE SOCIAL TAIN, Tain,6,26600 
274,THOUARSAIS, Thouars,6,79100 
275,ESPACE BERTHAUDIERE, Décines,6,69150 
276,MAISON POUR TOUS LE PLAN, Valence,6,26000 
277,CENTRE SOCIAL ASSOCIATION PROJET FAUBOURG DE BÉTHUNE, Lille,6,59000 
278,MAISON DES HABITANTS ANNE FRANK, Échirolles,6,38130 
279,CENTRE SOCIAL ESPACE INTERGENERATION, Foix,6,09000 
280,CENTRE SOCIAL ULAMIR DU GOYEN, Poullan,6,29100 
281,CENTRE SOCIAL GEORGES LEVY, Vaulx,6,69120 
282,Centre Animation Expression et Loisirs  C.A.E.L, Bourg,6,92340 
283,CENTRE SOCIAL DU PAYS DE LA GUERCHE DE BRETAGNE, Guerche,6,35130 
284,CENTRE SOCIOCULTUREL DE MONTMAGNY, Montmagny,6,95360 
285,CENTRE SOCIAL LOUIS BRAILLE, Saint,6,69800 
286,CENTRE SOCIAL LOUISE MICHEL, Neuilly,6,93330 
287,CARREFOUR SOCIAL ET CULTUREL UCKANGE, Uckange,6,57270 
288,Centre d'Animation Communale, Panazol,6,87350 
289,Centre Social La Riviere, Saint,6,42000 
290,CENTRE SOCIAL LE COTEAU, Coteau,6,42120 
292,CENTRE SOCIAL SAGV, Tarbes,6,65000 
293,MAISON DE QUARTIER VICTOR HUGO, Dunkerque,7,59430 
294,Centre social intercommunal  La Maison Valeuropéenne , Serris,7,77700 
295,CENTRE SOCIAL GEORGES POMPIDOU, Taverny,7,95150 
296,Centre Social Horizons Leo Lagrange Ouest, Brest,7,29200 
297,CENTRE CULTUREL ET SOCIAL SARREBOURG, Sarrebourg,7,57400 
298,CENTRE SOCIAL P'ARC EN CIEL, Nanterre,7,92000 
299,Maison des habitants  CHORIER BERRIAT, Grenoble,7,38000 
300,CENTRE SOCIAL LES JARDINS D AKAZOUL, Sainte,7,33560 
301,ACSRV - Maison de Quartier Beaujardin, Valenciennes,7,59300 
302,CENTRE SOCIAL ROSA PARKS, Saint,7,26140 
